date,open,high,low,close,volume
29/06/2010,19,25,17.54,23.89,18766300
30/06/2010,25.79,30.4192,23.3,23.83,17187100
01/07/2010,25,25.92,20.27,21.96,8218800
02/07/2010,23,23.1,18.71,19.2,5139800
06/07/2010,20,20,15.83,16.11,6866900
07/07/2010,16.4,16.63,14.98,15.8,6921700
08/07/2010,16.14,17.52,15.57,17.46,7711400
09/07/2010,17.58,17.9,16.55,17.4,4050600
12/07/2010,17.95,18.07,17,17.05,2202500
13/07/2010,17.3938,18.64,16.9,18.14,2680100
14/07/2010,17.94,20.15,17.7601,19.84,4195200
15/07/2010,19.94,21.5,19,19.89,3739800
16/07/2010,20.7,21.3,20.05,20.64,2621300
19/07/2010,21.37,22.25,20.92,21.91,2486500
20/07/2010,21.85,21.85,20.05,20.3,1825300
21/07/2010,20.66,20.9,19.5,20.22,1252500
22/07/2010,20.5,21.25,20.37,21,957800
23/07/2010,21.19,21.56,21.06,21.29,653600
26/07/2010,21.5,21.5,20.3,20.95,922200
27/07/2010,20.91,21.18,20.26,20.55,619700
28/07/2010,20.55,20.9,20.51,20.72,467200
29/07/2010,20.77,20.88,20,20.35,616000
30/07/2010,20.2,20.44,19.55,19.94,426900
02/08/2010,20.5,20.97,20.333,20.92,718100
03/08/2010,21,21.95,20.82,21.95,1230500
04/08/2010,21.95,22.18,20.85,21.26,913000
05/08/2010,21.54,21.55,20.05,20.45,796200
06/08/2010,20.1,20.1601,19.52,19.59,741900
09/08/2010,19.9,19.98,19.45,19.6,812700
10/08/2010,19.65,19.65,18.82,19.03,1281300
11/08/2010,18.69,18.88,17.85,17.9,797600
12/08/2010,17.8,17.9,17.39,17.6,691000
13/08/2010,18.18,18.45,17.6604,18.32,634000
16/08/2010,18.45,18.8,18.2616,18.78,485800
17/08/2010,18.96,19.4,18.78,19.15,447900
18/08/2010,19.59,19.59,18.6,18.77,601300
19/08/2010,18.54,19.25,18.33,18.79,579100
20/08/2010,18.65,19.11,18.5101,19.1,296000
23/08/2010,19.09,20.3891,19,20.13,1088100
24/08/2010,19.25,19.71,18.95,19.2,673100
25/08/2010,19.16,19.98,18.56,19.9,503300
26/08/2010,19.89,20.27,19.6,19.75,433800
27/08/2010,19.75,19.865,19.5,19.7,379600
30/08/2010,19.7,20.19,19.61,19.87,732800
31/08/2010,19.66,19.79,19.33,19.48,201100
01/09/2010,19.62,20.69,19.6,20.45,494900
02/09/2010,20.37,21.24,20.3103,21.06,487100
03/09/2010,20.87,21.3,20.66,21.05,434600
07/09/2010,20.61,21,20.5,20.54,243400
08/09/2010,20.66,20.95,20.6,20.9,288400
09/09/2010,21,21.05,20.69,20.71,376200
10/09/2010,20.75,20.93,19.76,20.17,386600
13/09/2010,20.89,20.8995,20.5,20.72,360800
14/09/2010,20.54,21.6,20.53,21.12,654700
15/09/2010,20.98,22,20.79,21.98,684600
16/09/2010,22.15,23.16,20.84,20.94,2684500
17/09/2010,21.02,21.32,19.8,20.23,1198500
20/09/2010,20.67,21.35,20.16,21.055,947500
21/09/2010,20.89,21.55,20.67,20.77,796000
22/09/2010,20.87,20.95,19.8,19.87,962900
23/09/2010,19.89,20.14,19.5,19.56,668100
24/09/2010,19.95,20.19,19.65,20.1,578900
27/09/2010,20.4,20.81,20.05,20.53,418600
28/09/2010,21.04,21.49,20.76,21.4,1214500
29/09/2010,21.19,22.03,21.13,21.98,1969300
30/09/2010,22,22.1499,20.19,20.405,2195800
01/10/2010,20.69,20.75,20.31,20.6,597700
04/10/2010,20.43,21.17,20.3,20.99,643600
05/10/2010,21.15,21.28,21.01,21.12,332000
06/10/2010,21.06,21.258,20.32,20.46,313400
07/10/2010,20.57,20.64,20.34,20.43,141000
08/10/2010,20.43,20.79,20.39,20.43,267800
11/10/2010,20.44,20.699,20.07,20.24,171200
12/10/2010,20.2,20.2829,20.03,20.24,244000
13/10/2010,20.64,20.85,20.36,20.54,318200
14/10/2010,21,21.0299,20.4,20.75,294800
15/10/2010,20.89,20.9,20.25,20.54,284700
18/10/2010,20.52,20.6399,20.22,20.23,162800
19/10/2010,20.2,20.4061,20,20.05,245200
20/10/2010,20.16,20.69,20.04,20.65,312500
21/10/2010,20.61,20.95,20.45,20.75,417100
22/10/2010,20.68,20.93,20.55,20.72,161100
25/10/2010,20.94,20.98,20.73,20.85,118500
26/10/2010,20.8,21.87,20.51,21.36,660900
27/10/2010,21.25,21.38,20.65,21,356500
28/10/2010,21.39,21.5,20.96,21.19,224200
29/10/2010,21.14,21.85,21.052,21.84,280600
01/11/2010,21.94,22.75,21.31,21.41,455800
02/11/2010,21.68,21.8792,21.05,21.25,322500
03/11/2010,21.28,22.5,21.16,21.77,372600
04/11/2010,22.6,25.33,22.151,24.9,1874000
05/11/2010,24.87,24.97,23.72,24.44,1011000
08/11/2010,24.5,25,24.03,24.98,509500
09/11/2010,25,25.69,24.0501,24.63,956400
10/11/2010,24.48,29.97,24.05,29.36,3060500
11/11/2010,28.6,29.1,27.33,28.035,1945300
12/11/2010,28.25,30.5,28.07,29.84,2729100
15/11/2010,30.22,32.9395,30.22,30.8,2622900
16/11/2010,31,31.4,28.42,29.67,1347600
17/11/2010,30.2,30.75,28.61,29.49,750000
18/11/2010,30.67,30.74,28.9201,29.89,956100
19/11/2010,30.16,31.37,29.7,30.99,1150500
22/11/2010,31.57,33.45,31.5,33.4,1529700
23/11/2010,33.29,35.68,32.1901,34.57,1577800
24/11/2010,35.27,35.97,34.334,35.47,1425000
26/11/2010,35.6,36,34.75,35.32,350600
29/11/2010,35.4122,35.95,33.33,34.33,1145600
30/11/2010,33.74,35.33,33.41,35.33,2222600
01/12/2010,35.87,36.42,33.45,34.35,1299200
02/12/2010,34.01,34.2975,31.2,32.35,2007000
03/12/2010,32.01,32.25,30.87,31.49,1160100
06/12/2010,31.35,31.45,29.56,30.31,1274400
07/12/2010,30.49,32.4,30.05,31.56,1311300
08/12/2010,32.48,32.49,31.52,32.37,660000
09/12/2010,32.51,32.72,31.65,32.05,406000
10/12/2010,32.05,32.92,31.1301,31.52,429400
13/12/2010,31.64,31.77,30.4,30.55,410400
14/12/2010,30.29,30.3899,27.761,28.53,1765700
15/12/2010,28.67,29.97,28.53,29.6,742900
16/12/2010,30,30.91,29.6501,30.81,790100
17/12/2010,31.34,31.54,30.71,31.36,813000
20/12/2010,31.64,32.19,31.26,31.7,523400
21/12/2010,31.8,32.69,31.7101,32.26,777700
22/12/2010,32.25,32.86,31.7,32.63,833300
23/12/2010,31.26,32.48,29.92,30.09,1552600
27/12/2010,28.02,28.58,25.06,25.549,9301900
28/12/2010,25.85,26.75,25,26.41,4056300
29/12/2010,27.03,28.01,26.5,27.73,3319200
30/12/2010,27.7,27.9,26.38,26.5,2041100
31/12/2010,26.57,27.25,26.5,26.63,1417900
03/01/2011,26.84,26.9999,25.9,26.62,1283000
04/01/2011,26.66,26.95,26.02,26.67,1187400
05/01/2011,26.48,26.9,26.19,26.83,1446700
06/01/2011,26.83,28,26.81,27.88,2061200
07/01/2011,28,28.58,27.9,28.24,2247900
10/01/2011,28.17,28.68,28.05,28.45,1342700
11/01/2011,28.59,28.71,26.92,26.96,1710200
12/01/2011,27.01,27.399,26.52,26.96,964400
13/01/2011,26.96,26.97,26.16,26.22,723600
14/01/2011,26.15,26.58,25.61,25.75,1192000
18/01/2011,25.48,25.64,24.75,25.64,1621700
19/01/2011,25.27,25.47,23.75,24.03,2371500
20/01/2011,24.03,24.45,22.37,22.62,2279900
21/01/2011,23.12,23.59,22.71,23.04,1217000
24/01/2011,23.53,24.81,23.23,24.49,1645100
25/01/2011,24.65,24.89,24.02,24.68,1271500
26/01/2011,24.71,24.88,24.1,24.75,1079900
27/01/2011,24.74,25.08,24.53,24.92,895700
28/01/2011,24.88,24.88,23.75,24.01,1048400
31/01/2011,24.05,24.12,23.5,24.1,830300
01/02/2011,24.31,24.73,23.54,23.91,707800
02/02/2011,24.16,24.18,23.669,23.94,569500
03/02/2011,23.82,23.9,23.15,23.63,512000
04/02/2011,23.44,23.67,23.22,23.46,544000
07/02/2011,23.26,23.26,22.88,23.07,895100
08/02/2011,23.78,25.25,23,24.49,3504900
09/02/2011,24.13,24.18,22.79,23.21,2635600
10/02/2011,23.26,23.64,22.81,23.215,836100
11/02/2011,23.25,23.75,22.94,23.25,634500
14/02/2011,23.64,24.14,23.05,23.08,1283100
15/02/2011,23.01,23.17,22.56,22.84,953700
16/02/2011,23.1,24.97,23.0701,24.73,4115100
17/02/2011,24.63,25.49,23.55,23.6,2618400
18/02/2011,23.33,23.49,22.96,23.18,2370700
22/02/2011,22.88,23,21.78,21.87,2064600
23/02/2011,22.18,22.5,21.11,21.83,1605600
24/02/2011,21.78,22.58,21.5,22.53,1055300
25/02/2011,22.81,23.85,22.69,23.61,1346300
28/02/2011,23.74,24.1,23.5,23.89,1051200
01/03/2011,24.05,24.32,23.7,23.94,1106400
02/03/2011,23.82,24.28,23.725,24.02,663300
03/03/2011,24.48,24.79,24.06,24.36,640200
04/03/2011,24.48,24.99,23.78,24.95,1580100
07/03/2011,24.93,25.4,24.7,24.94,2033600
08/03/2011,24.6,24.96,24,24.66,1399900
09/03/2011,24.66,24.99,24.27,24.72,924800
10/03/2011,24.44,24.49,23.73,24.01,1017000
11/03/2011,23.85,24.25,23.53,24.07,930800
14/03/2011,23.82,24,23.2,23.25,1166000
15/03/2011,22.2,22.96,21.8,22.95,1318800
16/03/2011,22.86,23.25,22.69,22.82,1169700
17/03/2011,23.24,23.43,22.64,22.81,922600
18/03/2011,23.19,23.19,22.51,22.96,687900
21/03/2011,23.05,23.05,22.54,22.73,411700
22/03/2011,22.73,22.86,22,22.19,582900
23/03/2011,22.11,22.27,21.77,22.21,422800
24/03/2011,22.14,22.38,21.98,22.33,462200
25/03/2011,22.43,23,22.4,22.75,568000
28/03/2011,22.7,23.5388,22.55,23.25,1058100
29/03/2011,23.3,24,23.21,23.92,755400
30/03/2011,24.11,24.49,23.01,23.71,1223300
31/03/2011,26.55,28.71,26.5,27.75,11517800
01/04/2011,27.45,28.18,26.57,26.66,2864800
04/04/2011,26.83,27,25.23,25.83,2609300
05/04/2011,25.9,27,25.69,26.7,3180900
06/04/2011,26.99,27.01,25.8,26.49,1288300
07/04/2011,26.85,27.94,26.4501,27.24,2810300
08/04/2011,27.58,27.6004,26.36,26.49,1946400
11/04/2011,26.47,26.53,25.02,25.27,1369400
12/04/2011,25.08,25.21,24.3,24.65,1357400
13/04/2011,25.13,25.69,24.81,24.93,1211500
14/04/2011,24.87,25.28,24.2,25.14,983400
15/04/2011,25.65,26.18,25.41,25.58,943500
18/04/2011,25.13,25.62,24.36,25.03,1033900
19/04/2011,25.26,25.26,24.65,25.16,548700
20/04/2011,25.7,26.09,25.3,25.75,837200
21/04/2011,25.85,26.98,25.5901,26.74,1386100
25/04/2011,26.7,26.73,25.97,26.39,800900
26/04/2011,26.66,27.25,26.31,26.93,1400000
27/04/2011,26.93,27.36,26.63,27.08,996900
28/04/2011,27.07,27.69,26.72,27.66,1600000
29/04/2011,27.69,27.87,27.42,27.6,726000
02/05/2011,27.6,27.8,27.06,27.45,784600
03/05/2011,27.38,27.39,26.5,26.87,913900
04/05/2011,26.78,27,25.75,26.69,1044500
05/05/2011,27.2,27.44,26.1701,26.44,1218500
06/05/2011,26.9,27.7,26.62,27.12,981700
09/05/2011,27,28,26.85,27.91,916400
10/05/2011,28.24,28.95,27.91,28.33,1535300
11/05/2011,28.2,28.2985,26.92,27.07,962500
12/05/2011,27.07,27.74,26.65,27.67,628000
13/05/2011,28,28.1891,27.3,27.55,661500
16/05/2011,27.99,27.99,26.55,26.6,755700
17/05/2011,27,27,25.72,25.96,1234200
18/05/2011,26.1,26.47,25.52,26.35,729500
19/05/2011,27.03,28.44,26.6,28.2,2655100
20/05/2011,28.26,28.28,27.35,27.97,842500
23/05/2011,27.62,27.62,26.62,26.82,863600
24/05/2011,27.02,27.5,26.6,26.72,613700
25/05/2011,26.9,29.01,26.17,28.98,4693100
26/05/2011,28.82,29.76,28.1,29.48,3336900
27/05/2011,29.54,29.67,28.82,29.55,1687100
31/05/2011,29.69,30.28,29.55,30.14,3290500
01/06/2011,30,30.1,28.38,28.517,1529900
02/06/2011,28.52,29.32,28.51,28.76,986300
03/06/2011,29.95,31.5,29.5,30.13,6209200
06/06/2011,29.1,30.13,28.26,28.7,2331100
07/06/2011,28.94,29.39,28.26,28.37,1222100
08/06/2011,28.44,28.6,27.02,27.12,1695900
09/06/2011,27.43,28.1,27.1,27.62,1603200
10/06/2011,27.52,28.2991,27.35,27.86,1566600
13/06/2011,28.07,28.88,27.88,28.43,1713400
14/06/2011,28.54,29.7,28.52,28.6,1573400
15/06/2011,28.44,28.45,27.07,27.32,1345000
16/06/2011,27.67,28,25.74,26.5,1842200
